,BTech Sem-VII (ICT + CS),,EL453,Nanoelectronics,3-0-0-3,Technical Elective,RP,CEP-106,,IT457,Cloud Computing,3-0-2-4,Technical Elective,PKS,CEP-209,,,,,,,,,SC435,Introduction to Complex Network,3-0-0-3,Science Elective,MT,CEP-108,,,,,,,
,,,,,,,,,,IT594,Deep Neural NLP & Applications,3-0-2-4,Technical Elective,SDG,CEP-204,,,,,,,,,SC478,Application of Statistics to Complex Systems,3-0-0-3,Science Elective,PR,CEP-103,,IE411,Operating Systems,3-0-2-4,ICT & Technical Elective,AMM,CEP-106
,,,EL401,Physics of Semiconductor,3-0-0-3,Technical Elective,HSJ,CEP-103,,EL467,Digital Programming,3-0-2-4,Technical Elective,YA,CEP-108,,,,,,,,,SC401,Introduction to Nonlinear Dynamics,3-0-0-3,Science Elective,PK3,CEP-205,,IE407,Internet of Things,3-0-2-4,ICT & Technical Elective (RAS minor),VSP,CEP-204
,,,EL470,Printed and Flexible Electronics ,3-0-2-4,Technical Elective,AB,CEP-104,,CT505,Detection and Estimation Theory,3-0-0-3,Technical Elective,AJ,CEP-203,,,,,,,,,,,,,,,,IE406,Machine Learning,3-0-2-4,ICT & Technical Elective (RAS minor),PA,LT-1
,,,,,,,,,,IT531,Advanced Computer Networks,3-0-2-4,Technical Elective,AG1,CEP-205,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE403,Human Computer Interaction,3-0-2-4,ICT & Technical Elective (RAS minor),PKS,CEP-103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IE420,Real-time Embedded Software,3-0-2-4,ICT & Technical Elective (RAS minor),TKM,CEP-107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BTech Sem-VII (MnC),,,,,,,,,IT594,Deep Neural NLP & Applications,3-0-2-4,MnC Elective,SDG,CEP-204,,,,,,,,,SC435,Introduction to Complex Network,3-0-0-3,MnC Elective,MT,CEP-108,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,SC478,Application of Statistics to Complex Systems,3-0-0-3,MnC Elective,PR,CEP-103,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
