id,instructor_id,course_id,created_at,updated_at
0600969f-b505-4557-9280-10d37bc7b9de,488654fc-95f1-4065-91f1-b6a7e5224129,0397c1dd-b85f-4205-8b59-c7633491790a,2025-07-23 02:20:56.444534+00,2025-07-23 02:20:56.444613+00
06afa4a8-7b5d-4f8f-ab26-114d8f7d5efb,d2fbae12-8e78-45cd-a7b2-46e4e18a91e9,fc4e7890-ad3b-4c31-8d2a-96bb8e92e8fd,2025-07-23 02:19:22.935665+00,2025-07-23 02:19:22.935725+00
0803fa2e-ea69-4c45-b453-d8e34bf56cd5,48a952b1-1bbf-4971-8485-481316f5dbed,653fbd83-c9e8-431e-bc94-cac4070ddfc6,2025-07-23 02:20:58.429559+00,2025-07-23 02:20:58.429643+00
084d4be0-495e-4d70-b43d-e9bbbd0c6251,938ce473-6c90-4982-b93d-647a21693a6a,2252abdf-9310-4b49-8b64-1b28ce1aadac,2025-07-23 02:20:25.975346+00,2025-07-23 02:20:25.975396+00
0a00d7d4-d4f6-41d1-bcb6-7e58c88a7e93,365e2e81-92a3-4588-a6c9-a89e324bfceb,6928e263-7f87-4df9-a5c4-1f04095bc119,2025-07-23 02:20:01.543767+00,2025-07-23 02:20:01.54382+00
0c78484b-7e5d-4f47-8b92-9a3359818080,91b09280-26e6-4f0a-85f7-82a3d17eccc0,99a4f0a7-0ae7-4246-9f1b-ba6ddb1a56b3,2025-07-23 02:18:30.251611+00,2025-07-23 02:18:30.251793+00
0f232221-f9f9-49fd-b9bb-ee5c27b3cade,a1e77beb-1c9b-4711-a715-c9ba4c318981,b04ccbd2-df92-47b3-81aa-d69ffacf6857,2025-07-23 02:19:57.603747+00,2025-07-23 02:19:57.604003+00
102e788f-de4e-48ad-8b64-339ec9fdd7ce,d171a840-3ff7-4178-8920-18d1f55a98bc,21f9bcaa-5996-4bf7-b561-c5a2e6e6ca02,2025-07-23 02:20:56.984063+00,2025-07-23 02:20:56.984108+00
107850b2-35c4-4e93-b008-eb2ad28918e8,ea5c6299-1988-42c4-bc8b-1644f890eff8,fe4837fc-fc45-494c-a01c-68098fac272f,2025-07-23 02:19:33.522919+00,2025-07-23 02:19:33.522983+00
10f9c9bc-5af9-438c-83cc-2f6368f55d6f,4a0e2227-0eff-4335-8724-c016a7be2360,d2848fe1-3083-4a10-9911-d5ddb00004fa,2025-07-23 02:18:43.047881+00,2025-07-23 02:18:43.047919+00
13805a1a-da15-402f-baf6-ce7be1682c17,3e1d9166-f135-4281-875e-004c7f1217ff,182a25ec-6246-4227-8113-45b702c80ebe,2025-07-23 02:20:40.018964+00,2025-07-23 02:20:40.019012+00
14f5d31b-13b3-423d-a577-0de5bea815d0,2b10616d-39f8-4f68-9dab-54b09091e62d,97131ad3-d96c-4b7d-b137-1c6404b7f90b,2025-07-23 02:20:21.908287+00,2025-07-23 02:20:21.908333+00
15b2d30e-156b-4759-bb37-59e9a707cc78,e7c07afa-f2da-4c02-b5b0-2fb1188eded2,e28dcece-e397-4959-8139-ce493f7edd86,2025-07-23 02:20:36.562868+00,2025-07-23 02:20:36.562918+00
169d7da5-c84e-4f82-81ce-794ef2151ae0,c96825d9-3c67-4dc0-8438-60a7790788f5,6c51ed8b-9c6e-4553-b9a3-56e84eb8a1ae,2025-07-23 02:18:46.150659+00,2025-07-23 02:18:46.150706+00
1885dec1-a25f-4470-b9c4-af3237c01252,d171a840-3ff7-4178-8920-18d1f55a98bc,ef2a0b22-84d4-4d9b-baba-02e37e3ad28c,2025-07-23 02:19:13.237808+00,2025-07-23 02:19:13.237849+00
1ab78d6d-4293-42c0-8383-a44260e2930e,7bd865b0-3216-420e-ba0b-f7d9f3426e73,5d68a7a3-b711-468e-a2b2-3c18599fa839,2025-07-23 02:18:31.00132+00,2025-07-23 02:18:31.001373+00
1abbbd13-4dc3-44e8-baeb-0384b80c53cb,c96825d9-3c67-4dc0-8438-60a7790788f5,ba6a3083-3232-4f44-9d6c-da4e3337ea2f,2025-07-23 02:18:37.319271+00,2025-07-23 02:18:37.319337+00
1b48a92e-3c3f-4f67-92ed-6219c0c8adfe,3e1d9166-f135-4281-875e-004c7f1217ff,1506b468-d510-4ca1-94f6-b72a639ca5cb,2025-07-23 02:20:25.38275+00,2025-07-23 02:20:25.382803+00
1b7231df-09f2-4445-85ee-5167c4527ddc,84058616-d360-4959-81ef-aa2241864e31,c04aea25-0d3f-4c6f-93f9-f45a6a47cab3,2025-07-23 02:19:29.218771+00,2025-07-23 02:19:29.218818+00
